rodada,multiplicador,end,date,minuto,total,fonte,fetched_at
3108825,20.33,20:48:49,2025-09-20,48,1,apostaganha,2025-09-21T00:38:19+00:00
3108826,1.11,20:49:35,2025-09-20,49,1,apostaganha,2025-09-21T00:38:19+00:00
3108827,1.83,20:49:46,2025-09-20,49,1,apostaganha,2025-09-21T00:38:19+00:00
3108828,1.01,20:50:04,2025-09-20,50,1,apostaganha,2025-09-21T00:38:19+00:00
3108829,2.7,20:50:14,2025-09-20,50,1,apostaganha,2025-09-21T00:38:19+00:00
3108830,6.16,20:50:36,2025-09-20,50,1,apostaganha,2025-09-21T00:38:19+00:00
3108831,2.94,20:51:09,2025-09-20,51,1,apostaganha,2025-09-21T00:38:19+00:00
3108832,1.07,20:51:32,2025-09-20,51,1,apostaganha,2025-09-21T00:38:19+00:00
3108833,1.57,20:51:43,2025-09-20,51,1,apostaganha,2025-09-21T00:38:19+00:00
3108834,1.82,20:51:58,2025-09-20,51,1,apostaganha,2025-09-21T00:38:19+00:00
3108835,3.38,20:52:17,2025-09-20,52,1,apostaganha,2025-09-21T00:38:19+00:00
3108836,2.97,20:52:41,2025-09-20,52,1,apostaganha,2025-09-21T00:38:19+00:00
3108837,1.82,20:53:05,2025-09-20,53,1,apostaganha,2025-09-21T00:38:19+00:00
3108838,1.0,20:53:23,2025-09-20,53,1,apostaganha,2025-09-21T00:38:19+00:00
3108839,3.37,20:53:33,2025-09-20,53,1,apostaganha,2025-09-21T00:38:19+00:00
3108840,2.62,20:53:59,2025-09-20,53,1,apostaganha,2025-09-21T00:38:19+00:00
3108841,2.11,20:54:23,2025-09-20,54,1,apostaganha,2025-09-21T00:38:19+00:00
3108842,10.03,20:54:42,2025-09-20,54,1,apostaganha,2025-09-21T00:38:19+00:00
3108843,2.77,20:55:20,2025-09-20,55,1,apostaganha,2025-09-21T00:38:19+00:00
3108844,2.65,20:55:42,2025-09-20,55,1,apostaganha,2025-09-21T00:38:19+00:00
3108845,4.19,20:56:04,2025-09-20,56,1,apostaganha,2025-09-21T00:38:19+00:00
3108846,5.81,20:56:32,2025-09-20,56,1,apostaganha,2025-09-21T00:38:19+00:00
3108847,4.69,20:57:04,2025-09-20,57,1,apostaganha,2025-09-21T00:38:19+00:00
3108848,1.63,20:57:34,2025-09-20,57,1,apostaganha,2025-09-21T00:38:19+00:00
3108849,1.5,20:57:50,2025-09-20,57,1,apostaganha,2025-09-21T00:38:19+00:00
3108850,4.45,20:58:06,2025-09-20,58,1,apostaganha,2025-09-21T00:38:19+00:00
3108851,46.37,20:58:34,2025-09-20,58,1,apostaganha,2025-09-21T00:38:19+00:00
3108852,4.16,20:59:32,2025-09-20,59,1,apostaganha,2025-09-21T00:38:19+00:00
3108853,6.38,20:59:59,2025-09-20,59,1,apostaganha,2025-09-21T00:38:19+00:00
3108854,1.13,21:00:35,2025-09-20,0,1,apostaganha,2025-09-21T00:38:19+00:00
3108855,1.65,21:00:49,2025-09-20,0,1,apostaganha,2025-09-21T00:38:19+00:00
3108856,1.88,21:01:06,2025-09-20,1,1,apostaganha,2025-09-21T00:38:19+00:00
3108857,1.04,21:01:25,2025-09-20,1,1,apostaganha,2025-09-21T00:38:19+00:00
3108858,1.25,21:01:41,2025-09-20,1,1,apostaganha,2025-09-21T00:38:19+00:00
3108859,3.09,21:01:55,2025-09-20,1,1,apostaganha,2025-09-21T00:38:19+00:00
3108860,2.02,21:02:22,2025-09-20,2,1,apostaganha,2025-09-21T00:38:19+00:00
3108861,3.88,21:02:42,2025-09-20,2,1,apostaganha,2025-09-21T00:38:19+00:00
3108862,1.36,21:03:09,2025-09-20,3,1,apostaganha,2025-09-21T00:38:19+00:00
3108863,1.05,21:03:25,2025-09-20,3,1,apostaganha,2025-09-21T00:38:19+00:00
3108864,4.82,21:03:40,2025-09-20,3,1,apostaganha,2025-09-21T00:38:19+00:00
3108865,2.55,21:04:09,2025-09-20,4,1,apostaganha,2025-09-21T00:38:19+00:00
3108866,2.27,21:04:31,2025-09-20,4,1,apostaganha,2025-09-21T00:38:19+00:00
3108867,1.03,21:04:51,2025-09-20,4,1,apostaganha,2025-09-21T00:38:19+00:00
3108868,4.03,21:05:03,2025-09-20,5,1,apostaganha,2025-09-21T00:38:19+00:00
3108869,1.31,21:05:32,2025-09-20,5,1,apostaganha,2025-09-21T00:38:19+00:00
3108870,1.25,21:05:48,2025-09-20,5,1,apostaganha,2025-09-21T00:38:19+00:00
3108871,4.41,21:06:02,2025-09-20,6,1,apostaganha,2025-09-21T00:38:19+00:00
3108872,4.52,21:06:30,2025-09-20,6,1,apostaganha,2025-09-21T00:38:19+00:00
3108873,16.13,21:06:59,2025-09-20,6,1,apostaganha,2025-09-21T00:38:19+00:00
3108874,1.76,21:07:44,2025-09-20,7,1,apostaganha,2025-09-21T00:38:19+00:00
3108875,38.27,21:08:02,2025-09-20,8,1,apostaganha,2025-09-21T00:38:19+00:00
3108876,2.39,21:08:56,2025-09-20,8,1,apostaganha,2025-09-21T00:38:19+00:00
3108877,1.04,21:09:20,2025-09-20,9,1,apostaganha,2025-09-21T00:38:19+00:00
3108878,1.62,21:09:33,2025-09-20,9,1,apostaganha,2025-09-21T00:38:19+00:00
3108879,1.74,21:09:50,2025-09-20,9,1,apostaganha,2025-09-21T00:38:19+00:00
3108880,2.17,21:10:08,2025-09-20,10,1,apostaganha,2025-09-21T00:38:19+00:00
3108881,2.07,21:10:28,2025-09-20,10,1,apostaganha,2025-09-21T00:38:19+00:00
3108882,1.59,21:10:50,2025-09-20,10,1,apostaganha,2025-09-21T00:38:19+00:00
3108883,2.79,21:11:10,2025-09-20,11,1,apostaganha,2025-09-21T00:38:19+00:00
3108884,5.09,21:11:32,2025-09-20,11,1,apostaganha,2025-09-21T00:38:19+00:00
3108885,15.43,21:12:03,2025-09-20,12,1,apostaganha,2025-09-21T00:38:19+00:00
3108886,2.53,21:12:46,2025-09-20,12,1,apostaganha,2025-09-21T00:38:19+00:00
3108887,12.8,21:13:09,2025-09-20,13,1,apostaganha,2025-09-21T00:38:19+00:00
3108888,2.12,21:13:50,2025-09-20,13,1,apostaganha,2025-09-21T00:38:19+00:00
3108889,1.35,21:14:11,2025-09-20,14,1,apostaganha,2025-09-21T00:38:19+00:00
3108890,1.14,21:14:28,2025-09-20,14,1,apostaganha,2025-09-21T00:38:19+00:00
3108891,3.91,21:14:43,2025-09-20,14,1,apostaganha,2025-09-21T00:38:19+00:00
3108892,1.43,21:15:09,2025-09-20,15,1,apostaganha,2025-09-21T00:38:19+00:00
3108893,4.92,21:15:26,2025-09-20,15,1,apostaganha,2025-09-21T00:38:19+00:00
3108894,1.13,21:15:59,2025-09-20,15,1,apostaganha,2025-09-21T00:38:19+00:00
3108895,1.67,21:16:15,2025-09-20,16,1,apostaganha,2025-09-21T00:38:19+00:00
3108896,2.95,21:16:31,2025-09-20,16,1,apostaganha,2025-09-21T00:38:19+00:00
3108897,2.05,21:16:55,2025-09-20,16,1,apostaganha,2025-09-21T00:38:19+00:00
3108898,1.33,21:17:18,2025-09-20,17,1,apostaganha,2025-09-21T00:38:19+00:00
3108899,1.0,21:17:33,2025-09-20,17,1,apostaganha,2025-09-21T00:38:19+00:00
3108900,2.29,21:17:48,2025-09-20,17,1,apostaganha,2025-09-21T00:38:19+00:00
3108901,3.46,21:18:10,2025-09-20,18,1,apostaganha,2025-09-21T00:38:19+00:00
3108902,17.92,21:18:35,2025-09-20,18,1,apostaganha,2025-09-21T00:38:19+00:00
3108903,1.27,21:19:20,2025-09-20,19,1,apostaganha,2025-09-21T00:38:19+00:00
3108904,1.17,21:19:34,2025-09-20,19,1,apostaganha,2025-09-21T00:38:19+00:00
3108905,2.39,21:19:47,2025-09-20,19,1,apostaganha,2025-09-21T00:38:19+00:00
3108906,1.84,21:20:07,2025-09-20,20,1,apostaganha,2025-09-21T00:38:19+00:00
3108907,17.33,21:20:26,2025-09-20,20,1,apostaganha,2025-09-21T00:38:19+00:00
3108908,1.36,21:21:13,2025-09-20,21,1,apostaganha,2025-09-21T00:38:19+00:00
3108909,96.43,21:21:29,2025-09-20,21,1,apostaganha,2025-09-21T00:38:19+00:00
3108910,8.75,21:22:35,2025-09-20,22,1,apostaganha,2025-09-21T00:38:19+00:00
3108911,1.17,21:23:11,2025-09-20,23,1,apostaganha,2025-09-21T00:38:19+00:00
3108912,2.21,21:23:26,2025-09-20,23,1,apostaganha,2025-09-21T00:38:19+00:00
3108913,3.73,21:23:49,2025-09-20,23,1,apostaganha,2025-09-21T00:38:19+00:00
3108914,1.16,21:24:16,2025-09-20,24,1,apostaganha,2025-09-21T00:38:19+00:00
3108915,35.7,21:24:29,2025-09-20,24,1,apostaganha,2025-09-21T00:38:19+00:00
3108916,1.24,21:25:23,2025-09-20,25,1,apostaganha,2025-09-21T00:38:19+00:00
3108917,1.47,21:25:38,2025-09-20,25,1,apostaganha,2025-09-21T00:38:19+00:00
3108918,5.9,21:25:57,2025-09-20,25,1,apostaganha,2025-09-21T00:38:19+00:00
3108919,4.96,21:26:31,2025-09-20,26,1,apostaganha,2025-09-21T00:38:19+00:00
3108920,1.72,21:27:01,2025-09-20,27,1,apostaganha,2025-09-21T00:38:19+00:00
3108921,28.21,21:27:22,2025-09-20,27,1,apostaganha,2025-09-21T00:38:19+00:00
3108922,1.49,21:28:13,2025-09-20,28,1,apostaganha,2025-09-21T00:38:19+00:00
3108923,2.11,21:28:31,2025-09-20,28,1,apostaganha,2025-09-21T00:38:19+00:00
3108924,1.03,21:28:54,2025-09-20,28,1,apostaganha,2025-09-21T00:38:19+00:00
3108925,2.49,21:29:08,2025-09-20,29,1,apostaganha,2025-09-21T00:38:19+00:00
3108926,24.09,21:29:29,2025-09-20,29,1,apostaganha,2025-09-21T00:38:19+00:00
3108927,1.56,21:30:19,2025-09-20,30,1,apostaganha,2025-09-21T00:38:19+00:00
3108928,1.52,21:30:40,2025-09-20,30,1,apostaganha,2025-09-21T00:38:19+00:00
3108929,25.45,21:31:00,2025-09-20,31,1,apostaganha,2025-09-21T00:38:19+00:00
3108930,2.78,21:31:51,2025-09-20,31,1,apostaganha,2025-09-21T00:38:19+00:00
3108931,1.39,21:32:14,2025-09-20,32,1,apostaganha,2025-09-21T00:38:19+00:00
3108932,3.53,21:32:33,2025-09-20,32,1,apostaganha,2025-09-21T00:38:19+00:00
3108933,1.32,21:32:59,2025-09-20,32,1,apostaganha,2025-09-21T00:38:19+00:00
3108934,2.16,21:33:20,2025-09-20,33,1,apostaganha,2025-09-21T00:38:19+00:00
3108935,1.0,21:33:45,2025-09-20,33,1,apostaganha,2025-09-21T00:38:19+00:00
3108936,1.7,21:33:59,2025-09-20,33,1,apostaganha,2025-09-21T00:38:19+00:00
3108937,5.75,21:34:22,2025-09-20,34,1,apostaganha,2025-09-21T00:38:19+00:00
3108938,3.52,21:34:54,2025-09-20,34,1,apostaganha,2025-09-21T00:38:19+00:00
3108939,3.52,21:35:24,2025-09-20,35,1,apostaganha,2025-09-21T00:38:19+00:00
3108940,1.77,21:35:53,2025-09-20,35,1,apostaganha,2025-09-21T00:38:19+00:00
3108941,2.01,21:36:17,2025-09-20,36,1,apostaganha,2025-09-21T00:38:19+00:00
3108942,7.76,21:36:39,2025-09-20,36,1,apostaganha,2025-09-21T00:38:19+00:00
3108943,3.68,21:37:16,2025-09-20,37,1,apostaganha,2025-09-21T00:38:19+00:00
3108944,1.1,21:37:42,2025-09-20,37,1,apostaganha,2025-09-21T00:38:19+00:00
3108945,2.62,21:37:57,2025-09-20,37,1,apostaganha,2025-09-21T00:38:21+00:00
3108946,1.2,21:38:22,2025-09-20,38,1,apostaganha,2025-09-21T00:38:39+00:00
3108947,46.86,21:38:43,2025-09-20,38,1,apostaganha,2025-09-21T00:39:38+00:00
3108948,1.8,21:39:40,2025-09-20,39,1,apostaganha,2025-09-21T00:39:55+00:00
